,Altimeter,AltimeterFlag,Date,DewPointCelsius,DewPointCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,DryBulbFarenheit,DryBulbFarenheitFlag,HourlyPrecip,HourlyPrecipFlag,PressureChange,PressureChangeFlag,PressureTendency,PressureTendencyFlag,RecordType,RecordTypeFlag,RelativeHumidity,RelativeHumidityFlag,SeaLevelPressure,SeaLevelPressureFlag,SkyCondition,SkyConditionFlag,StationPressure,StationPressureFlag,StationType,Time,ValueForWindCharacter,ValueForWindCharacterFlag,Visibility,VisibilityFlag,WBAN,WeatherType,WeatherTypeFlag,WetBulbCelsius,WetBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WindDirection,WindDirectionFlag,WindSpeed,WindSpeedFlag
30,29.91,,20120602.0,11.0, ,52.0, ,13.0, ,55.0, , , , , , , ,SP, ,90.0, ,M, ,SCT013 BKN019 OVC039, ,29.88, ,11.0,623.0, , ,2.5, ,14739.0,RA BR, ,11.8, ,53.0, ,110.0, ,13.0, 
31,29.9,,20120602.0,11.0, ,52.0, ,13.0, ,55.0, , , , , , , ,SP, ,90.0, ,M, ,FEW013 SCT019 OVC037, ,29.87, ,11.0,633.0, , ,3.0, ,14739.0,RA BR, ,11.8, ,53.0, ,110.0, ,20.0, 
32,29.9,,20120602.0,11.1, ,52.0, ,13.3, ,56.0, ,0.12, ,3.0, ,8.0, ,AA, ,87.0, ,29.9, ,FEW013 OVC033, ,29.87, ,11.0,654.0,25.0, ,3.0, ,14739.0,-RA, ,12.1, ,54.0, ,110.0, ,21.0, 
33,29.89,,20120602.0,12.0, ,54.0, ,13.0, ,55.0, , , , , , , ,SP, ,96.0, ,M, ,SCT013 SCT018 OVC027, ,29.86, ,11.0,720.0, , ,3.0, ,14739.0,-RA BR, ,12.4, ,54.0, ,110.0, ,20.0, 
34,29.89,,20120602.0,11.7, ,53.0, ,13.3, ,56.0, ,0.07, , , , , ,AA, ,90.0, ,29.88, ,SCT016 OVC020, ,29.86, ,11.0,754.0,29.0, ,3.0, ,14739.0,-RA BR, ,12.4, ,54.0, ,110.0, ,23.0, 
35,29.86,,20120602.0,12.0, ,54.0, ,14.0, ,57.0, , , , , , , ,SP, ,90.0, ,M, ,OVC013, ,29.83, ,11.0,816.0, , ,3.0, ,14739.0,RA BR, ,12.9, ,55.0, ,100.0, ,23.0, 
36,29.85,,20120602.0,13.0, ,55.0, ,14.0, ,57.0, , , , , , , ,SP, ,93.0, ,M, ,OVC009, ,29.82, ,11.0,839.0,30.0, ,2.5, ,14739.0,RA BR, ,13.2, ,56.0, ,110.0, ,24.0, 
37,29.86,,20120602.0,13.0, ,55.0, ,14.0, ,57.0, , , , , , , ,SP, ,93.0, ,M, ,OVC009, ,29.83, ,11.0,851.0,28.0, ,1.25, ,14739.0,+RA BR, ,13.2, ,56.0, ,100.0, ,21.0, 
38,29.86,,20120602.0,12.8, ,55.0, ,13.9, ,57.0, ,0.21, , , , , ,AA, ,93.0, ,29.85, ,OVC009, ,29.83, ,11.0,854.0, , ,1.0, ,14739.0,+RA BR, ,13.2, ,56.0, ,100.0, ,21.0, 
39,29.85,,20120602.0,13.0, ,55.0, ,14.0, ,57.0, , , , , , , ,SP, ,93.0, ,M, ,OVC007, ,29.82, ,11.0,944.0, , ,2.0, ,14739.0,-RA BR, ,13.2, ,56.0, ,90.0, ,17.0, 
40,29.85,,20120602.0,13.3, ,56.0, ,14.4, ,58.0, ,0.21, ,13.0, ,6.0, ,AA, ,93.0, ,29.85, ,OVC007, ,29.82, ,11.0,954.0, , ,2.0, ,14739.0,RA BR, ,13.8, ,57.0, ,90.0, ,18.0, 
41,29.83,,20120602.0,13.9, ,57.0, ,15.0, ,59.0, ,  T, , , , , ,AA, ,93.0, ,29.83, ,OVC006, ,29.8, ,11.0,1054.0, , ,2.0, ,14739.0,BR, ,14.3, ,58.0, ,110.0, ,22.0, 
42,29.81,,20120602.0,14.4, ,58.0, ,15.0, ,59.0, ,0.02, , , , , ,AA, ,97.0, ,29.81, ,OVC006, ,29.78, ,11.0,1154.0, , ,2.0, ,14739.0,-RA BR, ,14.6, ,58.0, ,100.0, ,21.0, 
43,29.81,,20120602.0,14.0, ,57.0, ,16.0, ,61.0, , , , , , , ,SP, ,87.0, ,M, ,OVC006, ,29.78, ,11.0,1220.0, , ,1.5, ,14739.0,+RA BR, ,14.8, ,59.0, ,110.0, ,18.0, 
44,29.79,,20120602.0,14.0, ,57.0, ,16.0, ,61.0, , , , , , , ,SP, ,87.0, ,M, ,BKN006 BKN036 OVC049, ,29.76, ,11.0,1235.0, , ,2.0, ,14739.0,-RA BR, ,14.8, ,59.0, ,100.0, ,20.0, 
45,29.78,,20120602.0,14.4, ,58.0, ,15.6, ,60.0, ,0.05, ,22.0, ,8.0, ,AA, ,93.0, ,29.78, ,BKN005 BKN010 OVC035, ,29.75, ,11.0,1254.0, , ,2.0, ,14739.0,-RA BR, ,14.9, ,59.0, ,100.0, ,20.0, 
46,29.77,,20120602.0,15.0, ,59.0, ,16.0, ,61.0, , , , , , , ,SP, ,93.0, ,M, ,OVC007, ,29.74, ,11.0,1352.0, , ,4.0, ,14739.0,BR, ,15.4, ,60.0, ,100.0, ,15.0, 
47,29.76,,20120602.0,15.0, ,59.0, ,15.6, ,60.0, ,  T, , , , , ,AA, ,97.0, ,29.76, ,OVC007, ,29.73, ,11.0,1354.0, , ,4.0, ,14739.0,BR, ,15.2, ,59.0, ,100.0, ,15.0, 
48,29.74,,20120602.0,15.0, ,59.0, ,16.1, ,61.0, , , , , , , ,AA, ,93.0, ,29.74, ,BKN008 OVC012, ,29.71, ,11.0,1454.0, , ,5.0, ,14739.0,BR, ,15.4, ,60.0, ,110.0, ,17.0, 
49,29.71,,20120602.0,14.4, ,58.0, ,15.0, ,59.0, ,  T, ,24.0, ,8.0, ,AA, ,97.0, ,29.71, ,FEW004 BKN008 OVC015, ,29.68, ,11.0,1554.0, , ,3.0, ,14739.0,-RA BR, ,14.6, ,58.0, ,110.0, ,21.0, 
50,29.71,,20120602.0,14.0, ,57.0, ,15.0, ,59.0, , , , , , , ,SP, ,93.0, ,M, ,FEW004 OVC008, ,29.68, ,11.0,1644.0,30.0, ,2.0, ,14739.0,-RA BR, ,14.3, ,58.0, ,120.0, ,21.0, 
51,29.71,,20120602.0,14.4, ,58.0, ,15.0, ,59.0, ,0.02, , , , , ,AA, ,97.0, ,29.7, ,FEW003 OVC006, ,29.68, ,11.0,1654.0, , ,1.25, ,14739.0,-RA BR, ,14.6, ,58.0, ,120.0, ,21.0, 
52,29.71,,20120602.0,15.0, ,59.0, ,16.1, ,61.0, ,0.07, , , , , ,AA, ,93.0, ,29.7, ,OVC005, ,29.68, ,11.0,1754.0, , ,2.0, ,14739.0,-RA BR, ,15.4, ,60.0, ,130.0, ,17.0, 
53,29.7,,20120602.0,16.0, ,61.0, ,16.0, ,61.0, , , , , , , ,SP, ,100.0, ,M, ,BKN005 OVC011, ,29.67, ,11.0,1803.0, , ,1.5, ,14739.0,-RA BR, ,16.1, ,61.0, ,130.0, ,17.0, 
54,29.7,,20120602.0,16.1, ,61.0, ,16.7, ,62.0, ,0.14, ,3.0, ,6.0, ,AA, ,97.0, ,29.7, ,BKN007 OVC014, ,29.67, ,11.0,1854.0, , ,1.5, ,14739.0,RA BR, ,16.3, ,61.0, ,140.0, ,15.0, 
55,29.7,,20120602.0,16.0, ,61.0, ,17.0, ,63.0, , , , , , , ,SP, ,93.0, ,M, ,BKN007 OVC012, ,29.67, ,11.0,1926.0, , ,2.5, ,14739.0,-RA BR, ,16.5, ,62.0, ,140.0, ,14.0, 
56,29.71,,20120602.0,15.6, ,60.0, ,16.7, ,62.0, ,0.09, , , , , ,AA, ,93.0, ,29.7, ,BKN007 OVC012, ,29.68, ,11.0,1954.0, , ,4.0, ,14739.0,-RA BR, ,16.0, ,61.0, ,130.0, ,15.0, 
57,29.71,,20120602.0,16.0, ,61.0, ,16.0, ,61.0, , , , , , , ,SP, ,100.0, ,M, ,BKN007 OVC013, ,29.68, ,11.0,2016.0, , ,2.0, ,14739.0,-RA BR, ,16.1, ,61.0, ,130.0, ,15.0, 
58,29.72,,20120602.0,16.1, ,61.0, ,16.7, ,62.0, ,0.03, , , , , ,AA, ,97.0, ,29.71, ,BKN006 OVC011, ,29.69, ,11.0,2054.0, , ,2.5, ,14739.0,-DZ BR, ,16.3, ,61.0, ,130.0, ,9.0, 
59,29.71,,20120602.0,16.0, ,61.0, ,16.0, ,61.0, , , , , , , ,SP, ,100.0, ,M, ,OVC005, ,29.68, ,11.0,2120.0, , ,3.0, ,14739.0,-DZ BR, ,16.1, ,61.0, ,140.0, ,9.0, 
60,29.7,,20120602.0,16.1, ,61.0, ,16.7, ,62.0, ,0.02, ,0.0, ,0.0, ,AA, ,97.0, ,29.7, ,OVC005, ,29.67, ,11.0,2154.0, , ,5.0, ,14739.0,BR, ,16.3, ,61.0, ,150.0, ,9.0, 
61,29.7,,20120602.0,16.1, ,61.0, ,16.7, ,62.0, ,  T, , , , , ,AA, ,97.0, ,29.7, ,OVC006, ,29.67, ,11.0,2254.0, , ,5.0, ,14739.0,-DZ BR, ,16.3, ,61.0, ,150.0, ,8.0, 
62,29.7,,20120602.0,16.0, ,61.0, ,16.0, ,61.0, , , , , , , ,SP, ,100.0, ,M, ,OVC005, ,29.67, ,11.0,2333.0, , ,1.0, ,14739.0,BR, ,16.1, ,61.0, ,130.0, ,8.0, 
63,29.7,,20120602.0,16.0, ,61.0, ,16.0, ,61.0, , , , , , , ,SP, ,100.0, ,M, ,OVC003, ,29.67, ,11.0,2335.0, , ,0.5, ,14739.0,BR, ,16.1, ,61.0, ,130.0, ,8.0, 
64,29.7,,20120602.0,15.0, ,59.0, ,15.6, ,60.0, ,  T, , , , , ,AA, ,97.0, ,29.69, ,OVC003, ,29.67, ,11.0,2354.0, , ,0.5, ,14739.0,BR, ,15.2, ,59.0, ,120.0, ,5.0, 
65,29.68,,20120603.0,15.0, ,59.0, ,15.6, ,60.0, ,  T, ,8.0, ,8.0, ,AA, ,97.0, ,29.68, ,OVC003, ,29.65, ,11.0,54.0, , ,0.5, ,14739.0,-DZ BR, ,15.2, ,59.0, ,120.0, ,7.0, 
66,29.67,,20120603.0,15.0, ,59.0, ,15.6, ,60.0, ,0.01, , , , , ,AA, ,97.0, ,29.66, ,OVC002, ,29.64, ,11.0,154.0, , ,0.25, ,14739.0,BR, ,15.2, ,59.0, ,140.0, ,7.0, 
67,29.66,,20120603.0,16.0, ,61.0, ,16.0, ,61.0, , , , , , , ,SP, ,100.0, ,M, ,SCT002 OVC006, ,29.63, ,11.0,245.0, , ,1.0, ,14739.0,BR, ,16.1, ,61.0, ,310.0, ,5.0, 
68,29.66,,20120603.0,15.0, ,59.0, ,16.1, ,61.0, , , , , , , ,AA, ,93.0, ,29.65, ,SCT002 OVC008, ,29.63, ,11.0,254.0, , ,1.0, ,14739.0,BR, ,15.4, ,60.0, ,300.0, ,8.0, 
69,29.65,,20120603.0,15.0, ,59.0, ,15.6, ,60.0, ,  T, ,11.0, ,6.0, ,AA, ,97.0, ,29.65, ,OVC004, ,29.62, ,11.0,354.0, , ,1.5, ,14739.0,BR, ,15.2, ,59.0, ,300.0, ,9.0, 
70,29.65,,20120603.0,14.0, ,57.0, ,16.0, ,61.0, , , , , , , ,SP, ,87.0, ,M, ,OVC004, ,29.62, ,11.0,413.0, , ,3.0, ,14739.0,BR, ,14.8, ,59.0, ,300.0, ,9.0, 
71,29.65,,20120603.0,14.4, ,58.0, ,15.0, ,59.0, , , , , , , ,AA, ,97.0, ,29.65, ,OVC004, ,29.62, ,11.0,454.0, , ,3.0, ,14739.0,BR, ,14.6, ,58.0, ,300.0, ,10.0, 
72,29.66,,20120603.0,14.0, ,57.0, ,15.0, ,59.0, , , , , , , ,SP, ,93.0, ,M, ,OVC005, ,29.63, ,11.0,533.0,20.0, ,3.0, ,14739.0, , ,14.3, ,58.0, ,320.0, ,13.0, 
73,29.66,,20120603.0,13.3, ,56.0, ,15.0, ,59.0, ,  T, , , , , ,AA, ,90.0, ,29.66, ,OVC008, ,29.63, ,11.0,554.0, , ,3.0, ,14739.0, , ,14.0, ,57.0, ,310.0, ,14.0, 
74,29.66,,20120603.0,13.3, ,56.0, ,15.0, ,59.0, , , ,5.0, ,1.0, ,AA, ,90.0, ,29.66, ,OVC008, ,29.63, ,11.0,654.0,20.0, ,10.0, ,14739.0, , ,14.0, ,57.0, ,330.0, ,13.0, 
75,29.66,,20120603.0,13.9, ,57.0, ,15.6, ,60.0, ,  T, , , , , ,AA, ,90.0, ,29.66, ,OVC008, ,29.63, ,11.0,754.0, , ,4.0, ,14739.0,-RA BR, ,14.6, ,58.0, ,310.0, ,13.0, 
76,29.66,,20120603.0,13.0, ,55.0, ,15.0, ,59.0, , , , , , , ,SP, ,87.0, ,M, ,OVC010, ,29.63, ,11.0,825.0, , ,8.0, ,14739.0,-DZ, ,13.7, ,57.0, ,320.0, ,18.0, 
77,29.67,,20120603.0,12.2, ,54.0, ,15.0, ,59.0, ,  T, , , , , ,AA, ,84.0, ,29.67, ,OVC012, ,29.64, ,11.0,854.0,23.0, ,10.0, ,14739.0, , ,13.4, ,56.0, ,320.0, ,16.0, 
78,29.68,,20120603.0,11.7, ,53.0, ,15.6, ,60.0, ,  T, ,5.0, ,3.0, ,AA, ,78.0, ,29.67, ,BKN014 BKN020 OVC028, ,29.65, ,11.0,954.0,23.0, ,10.0, ,14739.0,-DZ, ,13.4, ,56.0, ,340.0, ,15.0, 
79,29.67,,20120603.0,12.0, ,54.0, ,16.0, ,61.0, , , , , , , ,SP, ,78.0, ,M, ,BKN015 BKN023 OVC250, ,29.64, ,11.0,1027.0, , ,10.0, ,14739.0, , ,13.9, ,57.0, ,340.0, ,15.0, 
80,29.68,,20120603.0,11.1, ,52.0, ,16.1, ,61.0, ,  T, , , , , ,AA, ,72.0, ,29.67, ,BKN020 OVC028, ,29.65, ,11.0,1054.0,21.0, ,10.0, ,14739.0, , ,13.3, ,56.0, ,350.0, ,16.0, 
81,29.69,,20120603.0,10.6, ,51.0, ,15.6, ,60.0, ,  T, , , , , ,AA, ,72.0, ,29.68, ,BKN021 BKN029 OVC037, ,29.66, ,11.0,1154.0, , ,10.0, ,14739.0, , ,12.8, ,55.0, ,350.0, ,15.0, 
82,29.68,,20120603.0,11.7, ,53.0, ,15.0, ,59.0, ,  T, ,0.0, ,0.0, ,AA, ,81.0, ,29.67, ,BKN014 BKN023 OVC034, ,29.65, ,11.0,1254.0,21.0, ,10.0, ,14739.0, , ,13.1, ,56.0, ,350.0, ,15.0, 
83,29.68,,20120603.0,12.0, ,54.0, ,14.0, ,57.0, , , , , , , ,SP, ,90.0, ,M, ,SCT012 OVC019, ,29.65, ,11.0,1307.0,24.0, ,7.0, ,14739.0,-RA, ,12.9, ,55.0, ,10.0, ,17.0, 
84,29.67,,20120603.0,11.1, ,52.0, ,15.6, ,60.0, ,  T, , , , , ,AA, ,75.0, ,29.67, ,BKN017 BKN022 OVC036, ,29.64, ,11.0,1354.0,24.0, ,10.0, ,14739.0, , ,13.1, ,56.0, ,10.0, ,16.0, 
85,29.68,,20120603.0,10.6, ,51.0, ,15.0, ,59.0, , , , , , , ,AA, ,75.0, ,29.67, ,SCT018 BKN024 OVC029, ,29.65, ,11.0,1454.0, , ,10.0, ,14739.0, , ,12.5, ,55.0, ,20.0, ,17.0, 
86,29.68,,20120603.0,10.6, ,51.0, ,13.3, ,56.0, ,  T, ,0.0, ,5.0, ,AA, ,83.0, ,29.67, ,FEW013 OVC020, ,29.65, ,11.0,1554.0,26.0, ,8.0, ,14739.0,-RA, ,11.8, ,53.0, ,10.0, ,16.0, 
87,29.66,,20120603.0,10.0, ,50.0, ,14.4, ,58.0, ,  T, , , , , ,AA, ,75.0, ,29.66, ,BKN020 BKN030 OVC039, ,29.63, ,11.0,1654.0, , ,10.0, ,14739.0, , ,12.0, ,54.0, ,10.0, ,14.0, 
88,29.68,,20120603.0,10.0, ,50.0, ,13.9, ,57.0, ,  T, , , , , ,AA, ,78.0, ,29.67, ,FEW016 BKN020 OVC036, ,29.65, ,11.0,1754.0,23.0, ,10.0, ,14739.0, , ,11.8, ,53.0, ,20.0, ,15.0, 
89,29.68,,20120603.0,11.0, ,52.0, ,13.0, ,55.0, , , , , , , ,SP, ,90.0, ,M, ,SCT009 OVC014, ,29.65, ,11.0,1846.0, , ,6.0, ,14739.0,-RA BR, ,11.8, ,53.0, ,20.0, ,14.0, 
90,29.68,,20120603.0,10.6, ,51.0, ,12.8, ,55.0, ,  T, ,2.0, ,3.0, ,AA, ,86.0, ,29.68, ,BKN014 BKN018 OVC023, ,29.65, ,11.0,1854.0,23.0, ,6.0, ,14739.0,-RA BR, ,11.5, ,53.0, ,10.0, ,14.0, 
91,29.69,,20120603.0,10.0, ,50.0, ,12.0, ,54.0, , , , , , , ,SP, ,86.0, ,M, ,FEW010 BKN016 OVC024, ,29.66, ,11.0,1904.0,28.0, ,10.0, ,14739.0, , ,11.0, ,52.0, ,30.0, ,20.0, 
92,29.68,,20120603.0,10.0, ,50.0, ,12.0, ,54.0, , , , , , , ,SP, ,86.0, ,M, ,BKN013 BKN018 OVC040, ,29.65, ,11.0,1942.0,23.0, ,10.0, ,14739.0, , ,11.0, ,52.0, ,20.0, ,16.0, 
93,29.68,,20120603.0,10.0, ,50.0, ,12.2, ,54.0, , , , , , , ,AA, ,86.0, ,29.68, ,BKN013 BKN023 OVC037, ,29.65, ,11.0,1954.0,25.0, ,10.0, ,14739.0, , ,11.0, ,52.0, ,10.0, ,16.0, 
94,29.68,,20120603.0,10.0, ,50.0, ,12.0, ,54.0, , , , , , , ,SP, ,86.0, ,M, ,FEW010 OVC015, ,29.65, ,11.0,2015.0, , ,10.0, ,14739.0, , ,11.0, ,52.0, ,10.0, ,14.0, 
95,29.67,,20120603.0,9.4, ,49.0, ,12.2, ,54.0, , , , , , , ,AA, ,83.0, ,29.67, ,SCT015 BKN024 OVC035, ,29.64, ,11.0,2054.0,24.0, ,10.0, ,14739.0, , ,10.7, ,51.0, ,20.0, ,17.0, 
96,29.66,,20120603.0,9.4, ,49.0, ,12.2, ,54.0, , , ,8.0, ,8.0, ,AA, ,83.0, ,29.66, ,SCT013 BKN019 OVC026, ,29.63, ,11.0,2154.0, , ,10.0, ,14739.0, , ,10.7, ,51.0, ,10.0, ,17.0, 
97,29.66,,20120603.0,8.9, ,48.0, ,12.2, ,54.0, , , , , , , ,AA, ,80.0, ,29.65, ,BKN016 OVC025, ,29.63, ,11.0,2254.0,24.0, ,10.0, ,14739.0, , ,10.4, ,51.0, ,10.0, ,20.0, 
98,29.65,,20120603.0,9.0, ,48.0, ,12.0, ,54.0, , , , , , , ,SP, ,80.0, ,M, ,BKN013 OVC020, ,29.62, ,11.0,2331.0,23.0, ,7.0, ,14739.0,-RA, ,10.4, ,51.0, ,10.0, ,15.0, 
